NOME;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT
BRUNO ROCHA COELHO;2019-08-14;;;EM FUNCIONAMENTO NORMAL;2019-08-14
BRUNO ROCHA DALL'OCA;2010-06-23;2014-12-17;CANCELAMENTO A PEDIDO;CANCELADA;2014-12-17
BRUNO ROCHA MARTINS;2019-04-03;;;EM FUNCIONAMENTO NORMAL;2019-04-03
BRUNO RODIGHIERO PACILEO D ANDREA PALAZZO;2020-12-08;2021-07-29;CANCELAMENTO A PEDIDO;CANCELADA;2021-07-30
BRUNO RODRIGO MENDES;2021-08-31;2022-07-14;CANCELAMENTO A PEDIDO;CANCELADA;2022-07-15
BRUNO RODRIGO PEREIRA;2018-05-24;;;EM FUNCIONAMENTO NORMAL;2018-05-24
BRUNO RODRIGUES;2009-04-07;2014-05-19;CANCELAMENTO A PEDIDO;CANCELADA;2014-05-19
BRUNO RODRIGUES DUARTE;2022-01-04;;;EM FUNCIONAMENTO NORMAL;2022-01-04
BRUNO RODRIGUES FONSECA;2020-03-09;;;EM FUNCIONAMENTO NORMAL;2020-03-09
BRUNO RODRIGUES LARA LEITE;2018-11-28;;;EM FUNCIONAMENTO NORMAL;2018-11-28
BRUNO RODRIGUES ZANETI;2018-04-27;2018-05-25;CANCELAMENTO A PEDIDO;CANCELADA;2018-05-26
BRUNO RODRIGUES ZANETI;2021-04-19;;;EM FUNCIONAMENTO NORMAL;2021-04-19
BRUNO ROMANI TATERKA;2010-09-28;;;EM FUNCIONAMENTO NORMAL;2010-09-28
BRUNO ROMANO;2021-06-07;;;EM FUNCIONAMENTO NORMAL;2021-06-07
BRUNO RONDELLI DJANIKIAN;2021-04-28;;;EM FUNCIONAMENTO NORMAL;2021-04-28
BRUNO ROSENMANN;2018-06-15;2020-06-23;CANCELAMENTO A PEDIDO;CANCELADA;2020-06-24
BRUNO ROSSETTI BENTO;2019-04-24;;;EM FUNCIONAMENTO NORMAL;2019-04-24
BRUNO ROSSI ALVES;2018-10-09;;;EM FUNCIONAMENTO NORMAL;2018-10-09
BRUNO RUBIRA CORREA;2019-04-09;;;EM FUNCIONAMENTO NORMAL;2019-04-09
BRUNO RUDNIK TENDLER;2010-09-10;2014-06-20;CANCELAMENTO A PEDIDO;CANCELADA;2014-06-20
BRUNO RUVIER SANTIAGO DIBBERN;2020-05-29;;;EM FUNCIONAMENTO NORMAL;2020-05-29
BRUNO SAAR PAIM;2010-02-24;2011-06-22;CANCELAMENTO A PEDIDO;CANCELADA;2011-06-22
BRUNO SALDIVIA DA SILVA;2021-12-01;;;EM FUNCIONAMENTO NORMAL;2021-12-01
BRUNO SALGADO BEDINELLI;2022-08-17;;;EM FUNCIONAMENTO NORMAL;2022-08-17
BRUNO SAMPAIO BARROS;2021-11-29;;;EM FUNCIONAMENTO NORMAL;2021-11-29
BRUNO SAMPAIO E SILVA;2021-02-22;;;EM FUNCIONAMENTO NORMAL;2021-02-22
BRUNO SANTIAGO SIQUEIRA;2010-08-18;2011-03-29;CANCELAMENTO A PEDIDO;CANCELADA;2011-03-29
BRUNO SANTOS AVELLEDA;2011-10-04;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
BRUNO SANTOS DE JESUS;2020-02-03;;;EM FUNCIONAMENTO NORMAL;2020-02-03
BRUNO SANTOS DE MATOS;2021-03-09;;;EM FUNCIONAMENTO NORMAL;2021-03-09
BRUNO SARMENTO ROSEMBERG;2021-10-20;;;EM FUNCIONAMENTO NORMAL;2021-10-20
BRUNO SCHNEIDER;2020-10-09;;;EM FUNCIONAMENTO NORMAL;2020-10-09
BRUNO SCOTTON SOUZA;2019-08-12;2021-08-06;CANCELAMENTO A PEDIDO;CANCELADA;2021-08-07
BRUNO SÉ BRAGA;2020-10-15;;;EM FUNCIONAMENTO NORMAL;2020-10-15
BRUNO SEARA DA ROCHA;2020-09-22;;;EM FUNCIONAMENTO NORMAL;2020-09-22
BRUNO SEIJI ITO;2022-01-10;;;EM FUNCIONAMENTO NORMAL;2022-01-10
BRUNO SERANTE ZANUZZO;2017-01-27;2020-06-14;CANCELAMENTO A PEDIDO;CANCELADA;2020-06-15
BRUNO SERGIO DUTRA DA COSTA PINTO;2021-07-01;2022-03-18;CANCELAMENTO A PEDIDO;CANCELADA;2022-03-19
BRUNO SERVINO;2008-10-21;2017-06-16;CANCELAMENTO A PEDIDO;CANCELADA;2017-06-17
BRUNO SETLIK SANTOS;2020-01-23;;;EM FUNCIONAMENTO NORMAL;2020-01-23
BRUNO SETTI;2012-08-01;;;EM FUNCIONAMENTO NORMAL;2012-08-01
BRUNO SIL BALBINO SIQUEIRA;2021-04-09;;;EM FUNCIONAMENTO NORMAL;2021-04-09
BRUNO SILVA LOUREIRO;2022-08-10;;;EM FUNCIONAMENTO NORMAL;2022-08-10
BRUNO SILVA SOARES;2021-02-24;;;EM FUNCIONAMENTO NORMAL;2021-02-24
BRUNO SILVEIRA DE LIMA;2020-10-23;;;EM FUNCIONAMENTO NORMAL;2020-10-23
BRUNO SILVEIRA GOULARTE;2008-03-07;2015-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2015-10-01
BRUNO SOARES DA ROCHA MIRANDA;2022-06-10;;;EM FUNCIONAMENTO NORMAL;2022-06-10
BRUNO SOARES DA SILVA;2019-02-13;2022-01-17;CANCELAMENTO A PEDIDO;CANCELADA;2022-01-18
BRUNO SOARES LAROTONDA;2019-07-29;2020-09-09;CANCELAMENTO A PEDIDO;CANCELADA;2020-09-10
BRUNO SOARES MARTINS;2022-04-07;;;EM FUNCIONAMENTO NORMAL;2022-04-07
BRUNO SOLANO PEREIRA BENYUNES;2010-03-24;2020-08-12;CANCELAMENTO A PEDIDO;CANCELADA;2020-08-13
BRUNO SOLEDADE LOMBARDI;2011-01-18;2016-06-01;CANCELAMENTO A PEDIDO;CANCELADA;2016-06-01
BRUNO SOUTO NÔGA;2021-07-15;;;EM FUNCIONAMENTO NORMAL;2021-07-15
BRUNO SOUZA DOS SANTOS;2018-11-28;2021-06-16;CANCELAMENTO A PEDIDO;CANCELADA;2021-06-17
BRUNO SPERANDIO BORGES;2019-04-25;;;EM FUNCIONAMENTO NORMAL;2019-04-25
BRUNO STEINMETZ DE SOUZA;2020-07-13;;;EM FUNCIONAMENTO NORMAL;2020-07-13
BRUNO SUZUKI RANGEL;2022-04-28;;;EM FUNCIONAMENTO NORMAL;2022-04-28
BRUNO TADEU FAGGIANI;2011-05-06;2018-10-29;CANCELAMENTO A PEDIDO;CANCELADA;2018-10-30
BRUNO TADEU FALCONE AGUIAR ZACCARELLI TAVARES;2019-02-21;;;EM FUNCIONAMENTO NORMAL;2019-02-21
BRUNO TADEU MARTINS MORRONI;2019-04-22;;;EM FUNCIONAMENTO NORMAL;2019-04-22
BRUNO TAGAWA MONDINI;2008-07-31;2009-09-17;CANCELAMENTO A PEDIDO;CANCELADA;2009-09-17
BRUNO TAKESHI YUI;2022-05-03;;;EM FUNCIONAMENTO NORMAL;2022-05-03
BRUNO TAVARES DE FREITAS;2017-04-03;2020-06-11;CANCELAMENTO A PEDIDO;CANCELADA;2020-06-12
BRUNO TAVARES DOS ANJOS;2021-05-17;;;EM FUNCIONAMENTO NORMAL;2021-05-17
BRUNO TAVARES LANNES;2011-08-10;2013-03-28;CANCELAMENTO A PEDIDO;CANCELADA;2013-03-28
BRUNO TEIXEIRA CARLIN;2017-10-09;;;EM FUNCIONAMENTO NORMAL;2017-10-09
BRUNO TEIXEIRA DOS SANTOS;2020-11-13;;;EM FUNCIONAMENTO NORMAL;2020-11-13
BRUNO TEIXEIRA PINTO;2021-04-27;;;EM FUNCIONAMENTO NORMAL;2021-04-27
BRUNO TELLES;2004-05-28;2012-06-13;CANCELAMENTO A PEDIDO;CANCELADA;2012-06-13
BRUNO TEODORO LOPES DUARTE;2021-04-26;;;EM FUNCIONAMENTO NORMAL;2021-04-26
BRUNO TEODORO ROSA GONCALEZ DE BRITO;2021-11-17;;;EM FUNCIONAMENTO NORMAL;2021-11-17
BRUNO TERRA DE ASSUNÇÃO;2022-01-24;;;EM FUNCIONAMENTO NORMAL;2022-01-24
BRUNO THOMAZ LOTT;2019-10-31;;;EM FUNCIONAMENTO NORMAL;2019-10-31
BRUNO TOSTES ESCOCARD DE OLIVEIRA;2019-04-01;;;EM FUNCIONAMENTO NORMAL;2019-04-01
BRUNO TOZZINI TAVARES DA SILVA;2021-11-10;;;EM FUNCIONAMENTO NORMAL;2021-11-10
BRUNO VALADARES DE ALMEIDA;2008-08-13;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
BRUNO VALLADARES GUIMARÃES TABOADA;2021-01-27;;;EM FUNCIONAMENTO NORMAL;2021-01-27
BRUNO VALLE SCHMITT;2017-10-19;;;EM FUNCIONAMENTO NORMAL;2017-10-19
BRUNO VASCONCELOS ALVES;2017-09-12;2018-06-14;CANCELAMENTO A PEDIDO;CANCELADA;2018-06-15
BRUNO VAZ DOS SANTOS;2020-09-04;;;EM FUNCIONAMENTO NORMAL;2020-09-04
BRUNO VIACELLI PONTELLO;2009-07-23;2011-09-13;CANCELAMENTO A PEDIDO;CANCELADA;2011-09-13
BRUNO VIDAL PERES;2019-04-22;;;EM FUNCIONAMENTO NORMAL;2019-04-22
BRUNO VIEIRA DE OLIVEIRA;2020-01-10;2020-07-28;CANCELAMENTO A PEDIDO;CANCELADA;2020-07-29
BRUNO VILELA ULOTT;2021-08-13;;;EM FUNCIONAMENTO NORMAL;2021-08-13
BRUNO VINICIUS NONATO;2009-11-18;2012-07-27;CANCELAMENTO A PEDIDO;CANCELADA;2012-07-27
BRUNO VINICIUS RAMOS FERNANDES;2016-10-26;2021-12-20;CANCELAMENTO A PEDIDO;CANCELADA;2021-12-21
BRUNO VINICIUS SOUZA BASTOS;2016-12-22;;;EM FUNCIONAMENTO NORMAL;2016-12-22
BRUNO VISCONTI GUIDOTTE;2021-12-01;;;EM FUNCIONAMENTO NORMAL;2021-12-01
BRUNO VITOR BARCELOS;2021-08-26;;;EM FUNCIONAMENTO NORMAL;2021-08-26
BRUNO WEINERT MORAES CALABRIA;2022-05-23;;;EM FUNCIONAMENTO NORMAL;2022-05-23
BRUNO WESLEY CAETANO DA SILVA;2021-01-08;;;EM FUNCIONAMENTO NORMAL;2021-01-08
BRUNO WIDONSCK FEDER;2019-10-01;;;EM FUNCIONAMENTO NORMAL;2019-10-01
BRUNO XIMENES ROCIO;2008-08-05;;;EM FUNCIONAMENTO NORMAL;2008-08-05
BRUNO YUNES SIMÕES;2020-12-09;;;EM FUNCIONAMENTO NORMAL;2020-12-09
BRUNO ZAC;2018-04-04;2020-02-17;CANCELAMENTO A PEDIDO;CANCELADA;2020-02-18
BRUNO ZAC;2006-10-02;2012-12-28;CANCELAMENTO A PEDIDO;CANCELADA;2012-12-28
BRUNO ZANOTTO VIGNA;2021-01-12;;;EM FUNCIONAMENTO NORMAL;2021-01-12
BRUNO ZANUZ MORAES;2009-10-07;2012-03-29;CANCELAMENTO A PEDIDO;CANCELADA;2012-03-29
BRUNO ZARIFE DE OLIVEIRA;2008-11-12;;;EM FUNCIONAMENTO NORMAL;2008-11-12
BRYAN EIJI KOBORI;2015-05-08;;;EM FUNCIONAMENTO NORMAL;2021-04-01
BRYAN RODRIGUES;2021-10-15;;;EM FUNCIONAMENTO NORMAL;2021-10-15
BRYAN YURI DOS SANTOS;2020-07-17;2020-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2020-10-01
CACIO FRANCISCO DOS SANTOS;2011-11-23;2016-12-31;CANCELAMENTO A PEDIDO;CANCELADA;2017-01-01
CAETANO DE ARAUJO BRITO;2019-05-21;;;EM FUNCIONAMENTO NORMAL;2019-05-21
CAETANO PELLEGRINI JUNIOR;2020-07-13;;;EM FUNCIONAMENTO NORMAL;2020-07-13
CAETANO PILOTTO DIEHL;2011-03-30;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
CAETANO RABELLO;2021-02-22;;;EM FUNCIONAMENTO NORMAL;2021-02-22
CAETANO VICTOR SILVA DE MIRANDA;2009-10-30;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
CAETANO ZIMMER DA SILVA;2022-08-17;;;EM FUNCIONAMENTO NORMAL;2022-08-17
CAIAN FONSECA AGUIAR;2022-04-27;;;EM FUNCIONAMENTO NORMAL;2022-04-27
CAIAN FRANCO DE CAMARGO;2020-10-28;;;EM FUNCIONAMENTO NORMAL;2020-10-28
CAÍKE KAULING DO NASCIMENTO;2019-01-18;;;EM FUNCIONAMENTO NORMAL;2019-01-18
CAIO AFFONSO DE GRANDE;2021-03-05;;;EM FUNCIONAMENTO NORMAL;2021-03-05
CAIO ALCÂNTARA DE PAIVA;2019-04-16;2020-12-31;CANCELAMENTO A PEDIDO;CANCELADA;2021-01-01
CAIO ALESSANDRO DO NASCIMENTO MANOEL;2022-07-14;;;EM FUNCIONAMENTO NORMAL;2022-07-14
CAIO ALEXANDER HALL-NIELSEN;2004-02-12;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
CAIO ALEXANDRE MENDOZA RAMOS;2020-05-13;;;EM FUNCIONAMENTO NORMAL;2020-05-13
CAIO AMARAL LASSANCE CABRAL;2018-10-01;;;EM FUNCIONAMENTO NORMAL;2018-10-01
CAIO ARARIPE BEZERRA DE MENEZES VIANA;2021-02-23;;;EM FUNCIONAMENTO NORMAL;2021-02-23
CAIO AUGUSTO CAZUZA VERONESI;2018-05-07;;;EM FUNCIONAMENTO NORMAL;2018-05-07
CAIO AUGUSTO D AMATO;2020-07-03;;;EM FUNCIONAMENTO NORMAL;2020-07-03
CAIO AUGUSTO MANGINI;2018-05-16;2019-04-23;CANCELAMENTO A PEDIDO;CANCELADA;2019-04-24
CAIO AUGUSTO PANTALEÃO DOS SANTOS;2019-04-15;;;EM FUNCIONAMENTO NORMAL;2019-04-15
CAIO AUGUSTO PANTALEÃO DOS SANTOS;2011-01-03;2012-12-26;CANCELAMENTO A PEDIDO;CANCELADA;2012-12-26
CAIO AUGUSTO QUERIDO ABDALLA;2010-03-24;2012-12-27;CANCELAMENTO A PEDIDO;CANCELADA;2012-12-27
CAIO AUGUSTO SOARES E SILVA;2020-01-08;;;EM FUNCIONAMENTO NORMAL;2020-01-08
CAIO BARROS MATEUS;2021-02-24;;;EM FUNCIONAMENTO NORMAL;2021-02-24
CAIO BARROS VENTURI;2021-10-01;;;EM FUNCIONAMENTO NORMAL;2021-10-01
CAIO BARROS VENTURI;2009-04-13;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
CAIO BASTOS AZEVEDO;2006-08-03;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
CAIO BASTOS E SILVA DE MORAES;2013-09-10;2021-12-27;CANCELAMENTO A PEDIDO;CANCELADA;2021-12-28
CAIO BATISTA DORNELAS;2022-08-05;;;EM FUNCIONAMENTO NORMAL;2022-08-05
CAIO BELLO MANCHADO DOS SANTOS;2020-09-16;;;EM FUNCIONAMENTO NORMAL;2020-09-16
CAIO BENTES CARNEIRO;2017-04-20;;;EM FUNCIONAMENTO NORMAL;2017-04-20
CAIO BENYUNES ZATZ;2019-04-10;;;EM FUNCIONAMENTO NORMAL;2019-04-10
CAIO BERNARDES FERREIRA DE ALMEIDA;2019-06-13;;;EM FUNCIONAMENTO NORMAL;2019-06-13
CAIO BIAGIONI VINHA;2021-05-31;;;EM FUNCIONAMENTO NORMAL;2021-05-31
CAIO BORIA DE OLIVEIRA;2009-10-08;2012-06-20;CANCELAMENTO A PEDIDO;CANCELADA;2012-06-20
CAIO BORTMAN;2010-01-05;2016-08-16;CANCELAMENTO A PEDIDO;CANCELADA;2016-08-17
CAIO BRAZ SANTOS;2010-05-20;2017-12-05;CANCELAMENTO A PEDIDO;CANCELADA;2017-12-06
CAIO BRENNEKEN MATSUDA;2019-07-01;;;EM FUNCIONAMENTO NORMAL;2019-07-01
CAIO BRUNO FONSECA SOLER;2022-01-11;;;EM FUNCIONAMENTO NORMAL;2022-01-11
CAIO BUENO MORAES GOES;2020-11-06;;;EM FUNCIONAMENTO NORMAL;2020-11-06
CAIO BUSSIERE DE RIBAMAR TAVARES;2020-11-17;;;EM FUNCIONAMENTO NORMAL;2020-11-17
CAIO CAMPOS PREZOTTI;2021-05-03;;;EM FUNCIONAMENTO NORMAL;2021-05-03
CAIO CANEZ DE CASTRO;2020-03-11;;;EM FUNCIONAMENTO NORMAL;2020-03-11
CAIO CARVALHO LEÃO;2019-11-13;2021-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2021-10-01
CAIO CASSIANO ROCHA DE OLIVEIRA;2022-08-16;;;EM FUNCIONAMENTO NORMAL;2022-08-16
CAIO CAVALCANTI ALOI;2017-04-13;;;EM FUNCIONAMENTO NORMAL;2017-04-13
CAIO CAVALCANTI COSTA;2021-01-27;;;EM FUNCIONAMENTO NORMAL;2021-01-27
CAIO CESAR ANTONELLI SAMPAIO;2021-11-29;;;EM FUNCIONAMENTO NORMAL;2021-11-29
CAIO CESAR ARAKAWA DE ALMEIDA;2016-10-04;;;EM FUNCIONAMENTO NORMAL;2016-10-04
CAIO CÉSAR ARCARE;2017-07-25;;;EM FUNCIONAMENTO NORMAL;2017-07-25
CAIO CESAR BARROS DE ARAUJO;2019-03-01;2020-09-01;CANCELAMENTO A PEDIDO;CANCELADA;2020-09-02
CAIO CESAR BENTO DA SILVA CAMARGO;2019-08-09;;;EM FUNCIONAMENTO NORMAL;2019-08-09
CAIO CESAR BORGES BAPTISTA;2019-04-17;;;EM FUNCIONAMENTO NORMAL;2019-04-17
CAIO CÉSAR CARNEIRO ZERBINI;2019-04-15;;;EM FUNCIONAMENTO NORMAL;2019-04-15
CAIO CESAR CARVALHO DA SILVA;2018-08-30;;;EM FUNCIONAMENTO NORMAL;2018-08-30
CAIO CESAR CASTELLO IBITINGA;2021-06-11;2021-08-20;CANCELAMENTO A PEDIDO;CANCELADA;2021-08-21
CAIO CESAR CEO DE CARVALHO ARAÚJO;2022-04-19;;;EM FUNCIONAMENTO NORMAL;2022-04-19
CAIO CESAR COPETTI;2011-03-30;;;EM FUNCIONAMENTO NORMAL;2011-03-30
CAIO CESAR HEXSEL ABICHEQUER;2016-08-04;;;EM FUNCIONAMENTO NORMAL;2016-08-04
CAIO CESAR MARTINS DA SILVA;2020-09-23;;;EM FUNCIONAMENTO NORMAL;2020-09-23
CAIO CESAR MONTEIRO PEREIRA;2021-04-09;;;EM FUNCIONAMENTO NORMAL;2021-04-09
CAIO CESAR OLIVEIRA FRASAO;2022-02-22;;;EM FUNCIONAMENTO NORMAL;2022-02-22
CAIO CESAR R VALENTE ARAUJO;2017-10-05;;;EM FUNCIONAMENTO NORMAL;2017-10-05
CAIO CESAR REIS VALENTE;2021-04-06;;;EM FUNCIONAMENTO NORMAL;2021-04-06
CAIO CÉSAR SILVA;2022-06-21;;;EM FUNCIONAMENTO NORMAL;2022-06-21
CAIO CESAR WARICK CARDOSO;2019-11-18;;;EM FUNCIONAMENTO NORMAL;2019-11-18
CAIO CEZAR DE OLIVEIRA CAVALCANTE;2022-05-25;;;EM FUNCIONAMENTO NORMAL;2022-05-25
CAIO CHAGAS CORDEIRO;2021-06-07;;;EM FUNCIONAMENTO NORMAL;2021-06-07
CAIO COLARES DE SOUZA LIMA;2020-01-15;;;EM FUNCIONAMENTO NORMAL;2020-01-15
CAIO COMPANI LOPES MARCELINO;2018-05-15;;;EM FUNCIONAMENTO NORMAL;2018-05-15
CAIO CONSIDERA PELOSI;2011-07-20;2014-12-30;CANCELAMENTO A PEDIDO;CANCELADA;2014-12-30
CAIO CORREA LABREA KURTZ GONCALVES;2021-11-29;;;EM FUNCIONAMENTO NORMAL;2021-11-29
CAIO CORREIA DE ANDRADE;2018-06-26;2020-02-17;CANCELAMENTO A PEDIDO;CANCELADA;2020-02-18
CAIO DA SILVA GARCIA;2021-08-10;;;EM FUNCIONAMENTO NORMAL;2021-08-10
CAIO DA SILVA ROCHA;2022-04-04;;;EM FUNCIONAMENTO NORMAL;2022-04-04
CAIO DAHER MOURA CAMPELLO CORDEIRO;2021-02-02;;;EM FUNCIONAMENTO NORMAL;2021-02-02
CAIO DANTAS PEREIRA;2019-07-22;;;EM FUNCIONAMENTO NORMAL;2019-07-22
CAIO DE AGUIAR BERNARDI;2020-11-20;2021-08-06;CANCELAMENTO A PEDIDO;CANCELADA;2021-08-07
CAIO DE AZEVEDO MARQUES QUARTIM BARBOSA;2018-02-14;;;EM FUNCIONAMENTO NORMAL;2018-02-14
CAIO DE AZEVEDO MARQUES QUARTIM BARBOSA;2011-03-18;2016-04-08;CANCELAMENTO A PEDIDO;CANCELADA;2016-04-09
CAIO DE CARVALHO OLIVEIRA;2019-07-24;;;EM FUNCIONAMENTO NORMAL;2019-07-24
CAIO DE CASTRO BONELLI;2021-10-01;;;EM FUNCIONAMENTO NORMAL;2021-10-01
CAIO DE FREITAS CRUZ;2013-09-23;;;EM FUNCIONAMENTO NORMAL;2013-09-23
CAIO DE LIMA NICOLAU;2021-05-05;2021-07-28;CANCELAMENTO A PEDIDO;CANCELADA;2021-07-29
CAIO DE MELLO ZARATTINI;2020-08-11;2020-12-11;CANCELAMENTO A PEDIDO;CANCELADA;2020-12-12
CAIO DE SALLES OLIVEIRA MADDALENA;2008-10-29;2012-11-14;CANCELAMENTO A PEDIDO;CANCELADA;2012-11-14
CAIO DE SOUZA PINTO;2009-08-19;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
CAIO DELLA PAOLERA;2022-06-21;;;EM FUNCIONAMENTO NORMAL;2022-06-21
CAIO DOMENICO DE LUCENA SCHETTINO;2021-02-02;;;EM FUNCIONAMENTO NORMAL;2021-02-02
CAIO DOS REIS ANDRADE PASSARELLI;2022-06-15;;;EM FUNCIONAMENTO NORMAL;2022-06-15
CAIO DOS SANTOS DE ALMEIDA;2018-05-15;;;EM FUNCIONAMENTO NORMAL;2018-05-15
CAIO EDUARDO CARNAVAL PEREIRA;2021-04-27;2021-12-02;CANCELAMENTO A PEDIDO;CANCELADA;2021-12-03
CAIO EDUARDO DE ARAUJO SASAKI;2008-11-18;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
CAIO EDUARDO DE MENEZES FARIA;2010-08-31;2011-06-30;CANCELAMENTO A PEDIDO;CANCELADA;2011-06-30
CAIO EDUARDO ESTEVES FRANCO;2016-12-27;;;EM FUNCIONAMENTO NORMAL;2016-12-27
CAIO EDUARDO IGNÁCIO;2020-07-21;;;EM FUNCIONAMENTO NORMAL;2020-07-21
CAIO EDUARDO PACINI;2020-04-14;;;EM FUNCIONAMENTO NORMAL;2020-04-14
CAIO ELIAS RAUPP;2019-04-04;;;EM FUNCIONAMENTO NORMAL;2019-04-04
CAIO FABIO COUTINHO LIMA;2020-04-07;2021-05-31;CANCELAMENTO A PEDIDO;CANCELADA;2021-06-01
CAIO FELIPE GONÇALVES BORBA;2020-04-06;;;EM FUNCIONAMENTO NORMAL;2020-04-06
CAIO FELIPE TEDESCO DA SILVA;2022-04-18;;;EM FUNCIONAMENTO NORMAL;2022-04-18
CAIO FERNANDES DE BARROS;2020-02-11;;;EM FUNCIONAMENTO NORMAL;2020-02-11
CAIO FERNANDO DE CARVALHO TONET;2019-02-12;;;EM FUNCIONAMENTO NORMAL;2019-02-12
CAIO FERNANDO MOURA DA SILVA;2021-04-27;;;EM FUNCIONAMENTO NORMAL;2021-04-27
CAIO FERNANDO SALVATORE;2012-08-09;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
CAIO FERNANDO STAIBANO PAULON;2021-10-13;;;EM FUNCIONAMENTO NORMAL;2021-10-13
CAIO FERRAGUT SANTOS;2019-04-30;;;EM FUNCIONAMENTO NORMAL;2019-04-30
CAIO FIGUEIREDO LELLIS VIEIRA;2007-08-22;2021-01-29;CANCELAMENTO A PEDIDO;CANCELADA;2021-01-30
CAIO FLAVIO FELIX DE OLIVEIRA;2015-10-16;2018-06-29;CANCELAMENTO A PEDIDO;CANCELADA;2018-06-30
CAIO FLÁVIO SILVA CAIADO;2010-04-13;2016-03-09;CANCELAMENTO A PEDIDO;CANCELADA;2016-03-10
CAIO FORTES BEZERRA;2021-01-04;;;EM FUNCIONAMENTO NORMAL;2021-01-04
CAIO FRANCA ARAUJO;2021-01-04;;;EM FUNCIONAMENTO NORMAL;2021-01-04
CAIO FRANCO RODRIGUES SOARES;2021-10-14;;;EM FUNCIONAMENTO NORMAL;2021-10-14
CAIO FREITAS SARMENTO PESSOA;2020-11-06;;;EM FUNCIONAMENTO NORMAL;2020-11-06
CAIO GABRIEL TORRES CAVALHEIRO TROQUE;2020-07-24;2021-10-29;CANCELAMENTO A PEDIDO;CANCELADA;2021-10-30
CAIO GALLI CANEIRO;2017-08-23;;;EM FUNCIONAMENTO NORMAL;2017-08-23
CAIO GARCIA DA CUNHA;2011-04-13;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
CAIO GIMENEZ FABRICIO;2010-11-22;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
CAIO GLAUCO ARAUJO DE SOUZA;2019-05-28;;;EM FUNCIONAMENTO NORMAL;2019-05-28
CAIO GODOI RANDI;2022-05-17;;;EM FUNCIONAMENTO NORMAL;2022-05-17
CAIO GOMES AFFONSO DO AMARAL;2021-11-03;;;EM FUNCIONAMENTO NORMAL;2021-11-03
CAIO GOMES MARTINS;2017-07-07;2017-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2017-10-01
CAIO GONCALVES COIMBRA BESSA;2021-07-21;;;EM FUNCIONAMENTO NORMAL;2021-07-21
CAIO GUIMARÃES PEREIRA ZEIDLER;2021-10-01;;;EM FUNCIONAMENTO NORMAL;2021-10-01
CAIO GULINELLI DE ANDRADE;2021-03-09;;;EM FUNCIONAMENTO NORMAL;2021-03-09
CAIO HENRIQUE AZEREDO;2016-12-06;;;EM FUNCIONAMENTO NORMAL;2016-12-06
CAIO HENRIQUE BONANI SCHREURS;2017-08-23;;;EM FUNCIONAMENTO NORMAL;2017-08-23
CAIO HENRIQUE COSTA BELLO;2022-05-13;;;EM FUNCIONAMENTO NORMAL;2022-05-13
CAIO HENRIQUE GONÇALVES COSTA;2020-10-19;;;EM FUNCIONAMENTO NORMAL;2020-10-19
CAIO HENRIQUE GUIDUGLI CUNHA;2015-01-29;;;EM FUNCIONAMENTO NORMAL;2015-01-29
CAIO HENRIQUE KANAAN EBOLI;2009-05-15;2009-09-15;CANCELAMENTO A PEDIDO;CANCELADA;2009-09-15
