CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP;DDD;TEL;EMAIL;SITE_ADMIN
10.843.663/0001-21;CMS AGENTE AUTONOMO DE INVESTIMENTO LTDA;;2009-08-19;2009-09-30;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2009-09-30;SEDE;R URUGUAI, 155;SALA 914;CENTRO;PORTO ALEGRE;RS;90010140;51;32263039;castro_gs@hotmail.com;
10.340.235/0001-86;CMS INVEST AGENTE AUTONOMO DE INVESTIMENTOS LTDA;CMS INVEST AGENTE AUTONOMO DE INVESTIMENTOS LTDA;2008-11-25;;;EM FUNCIONAMENTO NORMAL;2008-11-25;SEDE;RUA HUNGRIA 888;CONJ. 62;JARDIM EUROPA;SÃO PAULO;SP;1455905;11;39381487;charles@cmsinvest.com.br;www.cmsinvest.com.br
08.777.525/0001-40;CMSC AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;;2007-09-04;2009-02-06;EXTINÇÃO;CANCELADA;2009-02-06;SEDE;RUA ASSIS VALENTE , N. 329-A;;VILA GUILHERMINIA;SÃO PAULO;SP;3543020;11;66843431;cmotac@terra.com.br;
32.180.522/0001-09;CMX SELETO - AGENTE AUTÔNOMO DE INVESTIMENTO S/S LTDA;CMX SELETO - AGENTE AUTÔNOMO DE INVESTIMENTO S/S LTDA;2019-01-22;;;EM FUNCIONAMENTO NORMAL;2019-01-22;SEDE;RUA DOUTOR CÉSAR 1161;CONJ 1101;SANTANA;SÃO PAULO;SP;2013004;21;82282814;rogerio.neves@seleto.com.br;
13.100.273/0001-50;CN AGENTE AUTONOMO DE INVESTIMENTOS LTDA;;2011-02-18;2013-03-12;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-03-12;SEDE;RUA MOSTARDEIRO, 322;CONJUNTO 1101;INDEPENDÊNCIA;PORTO ALEGRE;RS;90430000;51;30761400;karine.seccon@agiplan.com.br;
39.744.983/0001-06;CN PARTNERS AGENTES AUTONOMOS DE INVESTIMENTOS S/S LTDA;CN PARTNERS AGENTES AUTONOMOS DE INVESTIMENTOS S/S LTDA;2020-11-18;;;EM FUNCIONAMENTO NORMAL;2020-11-18;SEDE;AVENIDA AFONSO PENA 4785;SALA 1505;SANTA FÉ;CAMPO GRANDE;MS;79031010;67;91418825;eliseu.nantes@cnpartnersinvest.com.br;www.cnpartners.com.br
08.453.600/0001-17;CNN AGENTE AUTONOMO DE INVESTIMENTO LTDA.;CNN AGENTE AUTONOMO DE INVESTIMENTO LTDA.;2007-01-09;2017-02-02;CANCELAMENTO A PEDIDO;CANCELADA;2017-02-03;SEDE;RUA MINISTRO DE GODOI, Nº 640;APTO 12;PERDIZES;SÃO PAULO;SP;5015000;11;30499240;calilnn@aai.gradualinvestimentos.com.br;
11.601.322/0001-02;CNTN AGENTES AUTONOMOS DE INVESTIMENTOS EIRELI;CNTN AGENTES AUTONOMOS DE INVESTIMENTOS EIRELI;2010-04-14;2015-01-19;CANCELAMENTO A PEDIDO;CANCELADA;2015-01-19;SEDE;RUA TEQUICI, 2 B;;VILA GRANADA;SÃO PAULO;SP;3655060;11;31985162;celso@intrader.com.br;
10.258.534/0001-76;COBRA'S CORP AGENTE AUTONOMO DE INVESTIMENTO LTDA.;COBRA'S CORP AGENTE AUTONOMO DE INVESTIMENTO LTDA.;2008-11-25;2015-08-28;CANCELAMENTO A PEDIDO;CANCELADA;2015-08-28;SEDE;R. DOS MACUNIS 612;CASA 1;VILA MADALENA;SÃO PAULO;SP;5444001;11;38481155;fernando.cobra@cmcapitalmarkets.com.br;
13.123.257/0001-82;COELHO GONZÁLES AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;;2011-03-03;2013-04-12;CANCELAMENTO A PEDIDO;CANCELADA;2013-04-12;SEDE;RUA DOIS DE JANEIRO, 137;;VILA SALETE;SÃO PAULO;SP;3616020;11;31043229;empyreo@uol.com.br;
10.193.804/0001-08;COHORS AGENTE AUTONOMO DE INVESTIMENTOS LTDA.;;2008-10-14;2014-03-25;CANCELAMENTO A PEDIDO;CANCELADA;2014-03-25;SEDE;RUA HARMONIA, 457;APTO.64;SUMAREZINHO;SÃO PAULO;SP;5435000;11;31685088;fgabay@invistaativa.com.br;
09.014.172/0001-99;COIMBRA AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;;2007-09-28;2017-01-05;CANCELAMENTO A PEDIDO;CANCELADA;2017-01-06;SEDE;RUA NICOLO TRATAGLIA, 162;;JARDIM COIMBRA;SÃO PAULO;SP;3693060;11;30489851;alvaro@slw.com.br;
07.182.240/0001-01;COLD SPRING AGENTE AUTONOMO DE INVESTIMENTO LTDA;COLD SPRING AGENTE AUTONOMO DE INVESTIMENTO LTDA;2007-07-11;2016-02-23;CANCELAMENTO A PEDIDO;CANCELADA;2016-02-24;SEDE;AV ROUXINOL;161/APT. 71;INDIANÓPOLIS ;SÃO PAULO;SP;4516000;11;33846777;gfp@terrainvestimentos.com;
19.686.493/0001-93;COLINA AGENTE AUTONOMO DE INVESTIMENTO LTDA -EPP;COLINA AGENTE AUTONOMO DE INVESTIMENTO LTDA -EPP;2014-03-28;2018-10-18;CANCELAMENTO A PEDIDO;CANCELADA;2018-10-19;SEDE;AVENIDA RONDON PACHECO;635 - sala107;TABAJARAS;UBERLÂNDIA;MG;38400242;34;32925215;marcotulio@colinainvestimentos.com.br;
08.312.596/0001-77;COLINA AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA.;COLINA AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA.;2006-11-14;2015-11-05;CANCELAMENTO A PEDIDO;CANCELADA;2015-11-06;SEDE;RUA RODRIGO SILVA 18;901;CENTRO;RIO DE JANEIRO;RJ;20011040;21;26251879;jaimeeleterio@superig.com.br;jeleterio@distribuidorplanner.com.br
46.689.250/0001-81;COLLAR CAPITAL SOCIEDADE DE AGENTE AUTONOMO DE INVESTIMENTO LTDA;COLLAR CAPITAL SOC DE AGENTE AUTONOMO DE INVESTIMENTO;2022-08-03;;;EM FUNCIONAMENTO NORMAL;2022-08-03;SEDE;RUA PEQUETITA 215;CJ32;VILA OLÍMPIA;SÃO PAULO;SP;4552060;11;30161866;dante.sena@collarcapital.com.br;
24.414.482/0001-94;COLOMBO FINANCIAL SERVICES AGENTE AUTONOMO DE INVESTIMENTO - EIRELI;COLOMBO FINANCIAL SERVICES AGENTE AUTONOMO DE INVESTIMENTO - EIRELI;2016-06-29;2020-09-28;CANCELAMENTO A PEDIDO;CANCELADA;2020-09-29;SEDE;RUA DOUTOR VEIGA FILHO;477/APTO.61;SANTA CECÍLIA;SÃO PAULO;SP;1229000;11;35626388;daniel@habeascontabil.com.br;
45.262.512/0001-64;COLUMBIA AGENTE AUTONOMO DE INVESTIMENTOS SS LTDA;COLUMBIA AGENTE AUTONOMO DE INVESTIMENTOS SS LTDA;2022-03-29;;;EM FUNCIONAMENTO NORMAL;2022-03-29;SEDE;RUA VISCONDE DE INHAÚMA 285;SALA 23;OSVALDO CRUZ;SÃO CAETANO DO SUL;SP;9571010;11;42312022;armandofacio@columbiagn.com.br;
08.263.483/0001-29;COLUMBIA CAPITAL INVESTMENTS AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;COLUMBIA CAPITAL INVESTMENTS AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;2006-10-04;;;EM FUNCIONAMENTO NORMAL;2006-10-04;SEDE;AV PACAEMBU;1976 - AP105;PACAEMBU;SÃO PAULO;SP;1234000;11;82022402;rogerio@columbiainvestimentos.com.br;
12.600.944/0001-89;COMPASS AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;COMPASS AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;2010-11-17;2017-12-31;CANCELAMENTO A PEDIDO;CANCELADA;2018-01-01;SEDE;AV DR. NILO PEÇANHA, 2825;SALA 502;BELA VISTA;PORTO ALEGRE;RS;91330001;051;30737074;guilherme.sandri@icompass.com.br;
19.141.315/0001-87;COMPROMISSO AGENTE AUTONOMO DE INVESTIMENTOS LTDA;COMPROMISSO AGENTE AUTONOMO DE INVESTIMENTOS LTDA;2014-01-27;;;EM FUNCIONAMENTO NORMAL;2014-01-27;SEDE;RUA TURIASSU 446 10º ANDAR, SALAS 103, 104, 105 E 106, COND. EDIFÍCIO NEAR OFFICES PERDIZES;;PERDIZES;SÃO PAULO;SP;5005000;11;26664669;contato@compromissoinvestimentos.com.br;www.compromissoinvestimentos.com.br
12.644.327/0001-85;COMSTOP AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;;2010-12-01;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30;SEDE;RUA JAMES WATT, 142;CJ 41;JD EDITH;SÃO PAULO;SP;4576050;11;39575859;dmjunior@comstop.com.br;www.comstopaai.com.br
22.393.744/0001-56;CONCEITO AGENTE AUTONOMO DE INVESTIMENTOS EIRELI;CONCEITO;2015-05-25;2016-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2016-10-01;SEDE;RUA JERONIMO DA VEIGA 164;CJ 18 F;JD EUROPA;SÃO PAULO;SP;4536000;11;31677347;ssantilli@conceitoic.com.br;
10.726.266/0001-70;CONCEITO AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA ME;;2009-05-27;2009-10-14;EXTINÇÃO;CANCELADA;2009-10-14;SEDE;RUA FILIPINAS, 86;APTO. 102;LAPA;SÃO PAULO;SP;5083120;11;38358888;edvarleal@bol.com.br;
10.475.875/0001-01;CONCEITO AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;CONCEITO AGENTES AUTONOMOS DE INVESTIMENTOS;2016-08-05;;;EM FUNCIONAMENTO NORMAL;2016-08-05;SEDE;AVENIDA DESEMBARGADOR MOREIRA;1300/SALA 1101 T- SUL;ALDEOTA;FORTALEZA;CE;60170002;85;96845013;elisiosousa@conceitoinvest.com.br;
10.475.875/0001-01;CONCEITO AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;CONCEITO AGENTES AUTONOMOS DE INVESTIMENTOS;2009-03-10;2015-09-10;CANCELAMENTO A PEDIDO;CANCELADA;2015-09-11;SEDE;AVENIDA DESEMBARGADOR MOREIRA;1300/SALA 1101 T- SUL;ALDEOTA;FORTALEZA;CE;60170002;85;96845013;elisiosousa@conceitoinvest.com.br;
22.208.576/0001-81;CONCEITUAL INVESTIMENTOS AGENTE AUTONOMO DE INVESTIMENTOS S/S LTDA;CONCEITUAL INVESTIMENTOS AGENTE AUTONOMO DE INVESTIMENTOS SOCIEDADE SIMPLES;2015-07-17;2020-12-21;CANCELAMENTO A PEDIDO;CANCELADA;2020-12-22;SEDE;RUA DOUTOR JOSÉ PEROBA;149/SALA 402;STIEP;SALVADOR;BA;41770235;71;33418082;contato@conceitualinvestimentos.com.br;
11.969.872/0001-89;CONCILIO AGENTE AUTONOMO DE INVESTIMENTOS EIRELI;CONCILIO AGENTE AUTONOMO DE INVESTIMENTOS EIRELI;2010-10-15;2014-10-09;CANCELAMENTO A PEDIDO;CANCELADA;2014-10-09;SEDE;RUA ALBION, 220;SALA 03;LAPA;SÃO PAULO;SP;5077130;11;983641992;f.concilio@hotmail.com;
11.218.973/0001-18;CONCORDIA AGENTE AUTONOMO DE INVESTIMENTOS LTDA;;2010-04-14;2012-07-18;EXTINÇÃO;CANCELADA;2012-07-18;SEDE;RUA IMPERIAL;219;SUNTI;CONCÓRDIA;SC;89700000;49;99158180;albiero10@hotmail.com;www.toptrading.net.br
20.877.529/0001-03;CONECTA INVEST AGENTE AUTONOMO DE INVESTIMENTO EIRELI;CONECTA INVEST AGENTE AUTONOMO DE INVESTIMENTO EIRELI;2014-09-19;2019-01-31;CANCELAMENTO A PEDIDO;CANCELADA;2019-02-01;SEDE;AV TANCREDO NEVES;1632/LJ 41;CAMINHO DAS ARVORES;SALVADOR;BA;41820020;71;34801177;rodrigo@conectacambio.com.br;
31.018.243/0001-80;CONECTA INVESTIMENTOS AGENTES AUTÔNOMOS DE INVESTIMENTOS EIRELI;CONECTA INVESTIMENTOS AGENTES AUTÔNOMOS DE INVESTIMENTOS EIRELI;2018-08-20;2020-07-16;CANCELAMENTO A PEDIDO;CANCELADA;2020-07-17;SEDE;Rua Pereira Estéfano;114/CJ 805;Vila da Saúde;SÃO PAULO;SP;4144070;11;50789287;conectainvestimentos@hotmail.com;
11.422.042/0001-37;CONEXÃO - AGENTE AUTONOMO DE INVESTIMENTOS LTDA;CONEXÃO - AGENTE AUTONOMO DE INVESTIMENTOS LTDA;2015-03-02;;;EM FUNCIONAMENTO NORMAL;2015-03-02;SEDE;AVENIDA BRIGADEIRO FARIA LIMA;2179 - 8º ANDAR;JARDIM PAULISTANO;SÃO PAULO;SP;1451000;011;30957073;dacio@solucaoassessoria.com.br;
11.422.042/0001-37;CONEXÃO - AGENTE AUTONOMO DE INVESTIMENTOS LTDA;CONEXÃO - AGENTE AUTONOMO DE INVESTIMENTOS LTDA;2010-05-05;2012-04-30;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2012-04-30;SEDE;AVENIDA BRIGADEIRO FARIA LIMA;2179 - 8º ANDAR;JARDIM PAULISTANO;SÃO PAULO;SP;1451000;011;30957073;dacio@solucaoassessoria.com.br;
08.342.780/0001-60;CONEXÃO BR AGENTE AUTÔNOMO DE INVESTIMENTO LTDA;CONEXÃO BR AGENTE AUTÔNOMO DE INVESTIMENTO LTDA;2006-11-09;;;EM FUNCIONAMENTO NORMAL;2006-11-09;SEDE;AVENIDA DOUTOR ARNALDO 2146;SALA 2;SUMARÉ;SÃO PAULO;SP;1255000;11;30836256;hirocon@hirocon.com.br;
16.698.133/0001-13;CONEXION AGENTE AUTONOMO DE INVESTIMENTOS S/S LTDA;CONEXION AGENTE AUTONOMO DE INVESTIMENTOS S/S LTDA;2013-02-06;;;EM FUNCIONAMENTO NORMAL;2013-02-06;SEDE;AVENIDA CEL. FERNANDO FERREIRA LEITE;1520/SALA 505;JARDIM CALIFÓRNIA;RIBEIRÃO PRETO;SP;14026020;16;38784383;eduardo@conexionvalores.com.br;
24.859.323/0001-01;CONFINVEST AGENTE AUTONOMO DE INVESTIMENTOS LTDA ME;CONFINVEST AGENTE AUTONOMO DE INVESTIMENTOS LTDA ME;2016-07-29;;;EM FUNCIONAMENTO NORMAL;2016-07-29;SEDE;Rua Senador César Vergueiro;368;Rudge Ramos;SÃO BERNARDO DO CAMPO;SP;9641020;11;42353183;atendimento@confinvest.com.br;www.confinvest.com.br
10.688.674/0001-84;CONNE INVESTIMENTOS - AGENTES AUTONOMOS DE INVESTIMENTOS S/S;;2009-09-02;2010-09-30;EXTINÇÃO;CANCELADA;2010-09-30;SEDE;104 NORTE, R NE 05 CJ 03 LT 41;Nº 46 SALA 03;PLANO DIRETOR NORTE;PALMAS;TO;77006020;63;32155744;waglervieira@conneinvestimentos.com.br;www.conneinvestimentos.com.br
29.079.982/0001-30;CONQUEST AGENTE AUTONOMO DE INVETIMENTO LTDA;CONQUEST AGENTE AUTONOMO DE INVETIMENTO LTDA;2018-02-15;;;EM FUNCIONAMENTO NORMAL;2018-02-15;SEDE;SBS Quadra 2;12/BL E SL206;Asa Sul;BRASÍLIA;DF;70070120;61;30419522;administrativo@conquestinvestimentos.com.br;
16.753.921/0001-65;CONRADO G. GRAF AGENTE AUTONOMO DE INVESTIMENTOS;;2012-10-11;2013-08-21;CANCELAMENTO A PEDIDO;CANCELADA;2013-08-21;SEDE;RUA VISCONDE DE INHAUMA, 480;APTO. 64 A;VILA DA SAUDE;SÃO PAULO;SP;4145030;19;97750911;conrado_graf@hotmail.com;
08.980.712/0001-26;CONTATO AGENTE AUTONOMO DE INVESTIMENTOS LTDA.;;2007-09-24;2019-03-31;CANCELAMENTO A PEDIDO;CANCELADA;2019-04-01;SEDE;SRTVS 701 CONJ. E BL 2/4 LJ 28;PAL. DO RÁDIO II;ASA SUL;BRASÍLIA;DF;70340902;61;32232884;jalberto@bkk.com.br;
57.648.537/0001-80;CONTATO AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA.;CONTATO AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA.;2008-04-15;2017-12-19;CANCELAMENTO A PEDIDO;CANCELADA;2017-12-20;SEDE;RUA PIRANDELO, 56;;BROOKLIN;SÃO PAULO;SP;4623000;11;981417550;pedro@orsovay.com.br;
26.199.046/0001-75;CONTEMPORANEA AGENTE AUTONOMO DE INVESTIMENTOS EIRELI - ME;CONTEMPORANEA AGENTE AUTONOMO DE INVESTIMENTOS EIRELI - ME;2016-10-21;2020-05-05;CANCELAMENTO A PEDIDO;CANCELADA;2020-05-06;SEDE;Rua Leopoldo;446/FD 8 C 11;Andaraí;RIO DE JANEIRO;RJ;20541170;51;94564554;gustavogawry@gmail.com;
38.950.061/0001-92;CONTEMPORÂNEO CAPITAL AGENTE AUTÔNOMO DE INVESTIMENTOS - EIRELI.;CONTEMPORÂNEO CAPITAL AGENTE AUTÔNOMO DE INVESTIMENTOS;2021-04-30;;;EM FUNCIONAMENTO NORMAL;2021-04-30;SEDE;RUA FLORIANO PEIXOTO 2514;SALA 120;SANTOS DUMONT;SÃO JOSÉ DO RIO PRETO;SP;15020010;;;rodrigopaula@contemporaneocapital.com.br;
32.180.073/0001-07;CONTINUUM PRIVATE - AGENTE AUTONOMO DE INVESTIMENTOS SS LTDA;CONTINUUM PRIVATE AGENTE AUTÔNOMO DE INVESTIMENTOS;2019-02-07;;;EM FUNCIONAMENTO NORMAL;2019-02-07;SEDE;RUA 8 LOTE 05 1608;SALA I;NORTE (ÁGUAS CLARAS);BRASÍLIA;DF;71908360;61;35250261;contato@continuumprivate.com.br;www.continuumprivate.com.br
03.490.135/0001-70;CONVENÇÃO INVESTIMENTOS LTDA.;;2003-06-23;2009-11-20;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2009-11-20;SEDE;AV. VITAL BRASIL, Nº 1054;SALA E;JD. MEDINA;POÁ;SP;8557000;11;32586469;hirocon@terra.com.br;
05.686.893/0001-94;CONVERSÃO AGENTE AUTÔNOMO DE INVESTIMENTO - EIRELI;CONVERSÃO AGENTE AUTÔNOMO DE INVESTIMENTO EIRELI;2003-07-25;;;EM FUNCIONAMENTO NORMAL;2003-07-25;SEDE;RUA CAÇUNUNGA;8/;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;4508010;11;31671567;cbarbarisi@indusval.com.br;
33.458.935/0001-75;CONVEXA INVESTIMENTOS AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;CONVEXA INVESTIMENTOS AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;2019-05-23;;;EM FUNCIONAMENTO NORMAL;2019-05-23;SEDE;RUA VISCONDE DE PIRAJÁ 152;801;IPANEMA;RIO DE JANEIRO;RJ;22410000;21;95498075;leonardofrisoni@gmail.com;
10.700.859/0001-67;COPA BARRA AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;;2009-05-05;2010-10-22;EXTINÇÃO;CANCELADA;2010-10-22;SEDE;RUA PENEDIA , N 110;CASA;ITANHAGA;RIO DE JANEIRO;RJ;22641620;21;27173253;village@uol.com.br;
19.212.784/0001-40;COPAIBA AGENTE AUTONOMO DE INVESTIMENTOS LTDA;COPAIBA INVEST AGENTE AUTONOMO DE INVESTIMENTOS;2014-08-20;;;EM FUNCIONAMENTO NORMAL;2014-08-20;SEDE;AVENIDA GETÚLIO VARGAS 6;QUADRA 7;VILA GUEDES DE AZEVEDO;BAURU;SP;17017000;14;30101818;lara@copaibainvest.com.br;
22.952.640/0001-34;CORAL INVEST AGENTES AUTONOMOS DE INVESTIMENTO LTDA;CORAL INVEST AGENTES AUTONOMOS DE INVESTIMENTO LTDA;2016-06-27;2021-10-15;CANCELAMENTO A PEDIDO;CANCELADA;2021-10-16;SEDE;AVENIDA ATAULFO DE PAIVA 1251;SALA 501;LEBLON;RIO DE JANEIRO;RJ;22440034;21;21214219;contato@gpwm.com.br;
20.840.980/0001-48;CORDIER AGENTE AUTONOMO DE INVESTIMENTOS LTDA;CORDIER AGENTE AUTONOMO DE INVESTIMENTOS LTDA;2014-08-27;2018-06-12;CANCELAMENTO A PEDIDO;CANCELADA;2018-06-13;SEDE;RUA OCTAVIANO GOZZANO;325 - sala 171;PARQUE CAMPOLIM;SOROCABA;SP;18048100;15;32319900;pablo.pinuelo@cordierinvestimentos.com.br;www.cordierinvestimentos.com.br
19.688.196/0001-87;CORDULA MARIA BOWENS DA SILVA AGENTE AUTONOMA DE INVESTIMENTOS - EIRELI;CORDULA MARIA BOWENS DA SILVA AGENTE AUTONOMA DE INVESTIMENTOS - EIRELI;2014-02-25;;;EM FUNCIONAMENTO NORMAL;2014-02-25;SEDE;RUA: Paulo Zimmermann;93/503;Centro;BLUMENAU;SC;89010170;47;33227171;cordula.silva@hotmail.com;
44.356.258/0001-09;CORPORATE INVESTIMENTOS 360 AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;CORPORATE INVESTIMENTOS 360 AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;2022-04-26;;;EM FUNCIONAMENTO NORMAL;2022-04-26;SEDE;RUA VICTOR CIVITA 77;BL 1 SAL 401;JACAREPAGUÁ;RIO DE JANEIRO;RJ;22775044;21;96493317;robson.campos@corporategestao360.com.br;
08.895.894/0001-37;CORRAL PERLES AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA.;;2007-11-08;2011-07-05;EXTINÇÃO;CANCELADA;2011-07-05;SEDE;RUA JERONIMO DA VEIGA, 225;APTO 31A;ITAIM BIBI;SÃO PAULO;SP;4536000;11;94860111;gustavo_perles@yahoo.com.br;
08.974.007/0001-16;CORREA AGENTE AUTÔNOMO DE INVESTIMENTO S/S LTDA;;2007-09-24;2012-11-06;CANCELAMENTO A PEDIDO;CANCELADA;2012-11-06;SEDE;AV JESUINO ARRUDA, 502;CASA 59;ITAIM BIBI;SÃO PAULO;SP;4532081;11;35251854;lcpmc@hotmail.com;
08.816.526/0001-56;CORRETA AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA.;;2007-07-02;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-10-01;SEDE;RUA DOUTOU LUIZ JANUARIO;406 - SALA 201 PARTE;CENTRO;SAQUAREMA;RJ;28990790;21;30052000;mleitao@alpes2.com;
12.932.225/0001-65;CORTES AGENTE AUTONOMO DE INVESTIMENTOS LTDA;;2011-03-02;2013-07-12;CANCELAMENTO A PEDIDO;CANCELADA;2013-07-12;SEDE;RUA BARÃO DO FLAMENGO;4 APT 611 BLOCO B;FLAMENGO;RIO DE JANEIRO;RJ;22220080;21;83486795;celmocortes@gmail.com;
08.974.641/0001-59;COSA NOSTRA AGENTE AUTÔNOMO DE INVESTIMENTOS S/S LTDA;;2007-10-10;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-10-01;SEDE;AV LUIZ MANOEL GONZAGA 416;1203;PETROPOLIS;PORTO ALEGRE;RS;90470280;51;81729000;apuperi@icatuseguros.com.br;
41.058.902/0001-66;COSMOS INVESTIMENTOS AGENTE AUTÔNOMO DE INVESTIMENTO LTDA;COSMOS INVESTIMENTOS AGENTE AUTÔNOMO DE INVESTIMENTO;2021-04-01;2021-08-12;CANCELAMENTO A PEDIDO;CANCELADA;2021-08-13;SEDE;TRAVESSA QUATORZE DE MARÇO 1155 TRAVESSA QUATORZE DE MARÇO 1155;SALA 503;UMARIZAL;BELÉM;PA;66055490;;;maria.amaro@cosmosinvestimentos.com.br;
45.256.145/0001-96;COSTA AZUL AGENTES AUTONOMOS DE INVESTIMENTOS SS LTDA;COSTA AZUL AGENTES AUTONOMOS DE INVESTIMENTOS SS LTDA;2022-05-30;;;EM FUNCIONAMENTO NORMAL;2022-05-30;SEDE;ALAMEDA DOUTOR CARLOS DE CARVALHO 555;CONJUNTO 232;CENTRO;CURITIBA;PR;80430180;41;34080935;lucas@costaazulinvestimentos.com.br;
11.125.421/0001-65;COUTINHO PIMENTEL AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;;2010-01-08;2011-06-16;EXTINÇÃO;CANCELADA;2011-06-16;SEDE;RUA VOLUNTÁRIOS DE SÃO PAULO,;3180, SALA 11;CENTRO;SÃO JOSÉ DO RIO PRETO;SP;15015200;17;32226677;contato@velani.com.br;
31.511.295/0001-94;CPR AGENTE AUTONOMO DE INVESTIMENTOS LTDA;CPR AGENTE AUTONOMO DE INVESTIMENTOS;2018-10-22;;;EM FUNCIONAMENTO NORMAL;2018-10-22;SEDE;AVENIDA NOSSA SENHORA DE COPACABANA 1066;910;COPACABANA;RIO DE JANEIRO;RJ;22060002;21;99890113;anatavares@capriaai.com;
28.491.022/0001-10;CR AGENTE AUTONOMO DE INVESTIMENTOS LTDA;CR AGENTE AUTONOMO DE INVESTIMENTOS LTDA;2019-08-19;2020-03-11;CANCELAMENTO A PEDIDO;CANCELADA;2020-03-12;SEDE;Rua Sampaio Viana;202/CJ 24 25;Paraíso;SÃO PAULO;SP;4004000;11;39390271;claudiootavio@hotmail.com;
46.448.046/0001-79;CRAVA CAPITAL AGENTE AUTONOMO DE INVESTIMENTO LTDA;CRAVA CAPITAL AGENTE AUTONOMO DE INVESTIMENTO LTDA;2022-05-26;;;EM FUNCIONAMENTO NORMAL;2022-05-26;SEDE;RUA TUIUTI 606;AP 144 BL 03;TATUAPÉ;SÃO PAULO;SP;3081015;11;37293249;arthurholzer@gmail.com;
07.692.442/0001-95;CREDIT AGENTE AUTONOMO DE INVESTIMENTOS LTDA.;;2006-01-18;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30;SEDE;RUA VIEIRA DE ALMEIDA, 461;0/SALA 18;IPIRANGA;SÃO PAULO;SP;4268040;011;21420523;lxavier@spinelli.com.br;importacao
08.453.696/0001-13;CRENDON AGENTE AUTONOMO DE INVESTIMENTOS LTDA;;2006-12-07;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30;SEDE;RUA DA QUITANDA, 49;SL.114;CENTRO;RIO DE JANEIRO;RJ;20011030;21;35023342;will.s.freiburghaus@gmail.com;
26.184.654/0001-06;CRFIVE - AGENTE AUTONOMO DE INVESTIMENTOS EIRELI;CRFIVE - AGENTE AUTONOMO DE INVESTIMENTOS EIRELI;2016-09-30;2018-03-05;CANCELAMENTO A PEDIDO;CANCELADA;2018-03-06;SEDE;AV SANTOS DUMONT, EDF. AERO EMPRESARIAL;1883 - SALA 527;JARDIM DOS PASSAROS;LAURO DE FREITAS;BA;42702400;71;30241055;quecio@crfive.com.br;
09.140.580/0001-97;CRH AGENTE AUTONOMO DE INVESTIMENTOS LTDA;;2007-12-11;2008-12-03;EXTINÇÃO;CANCELADA;2008-12-03;SEDE;RUA EZIO MARANEZI, Nº 267;;CIDADE LIDER;SÃO PAULO;SP;8280030;11;36721941;mmiranda@mmiranda.com.br;
